"","time","nino.anomaly","dmi.anomaly","tsa.anomaly","aao.anomaly","week","year"
"777",1996-09-18,-0.321263,-0.169069,-0.0867138,-0.687857,38,1996
"778",1996-09-25,-0.467478,-0.964156,-0.206178,1.297286,39,1996
"779",1996-10-02,-0.575345,-1.47334,-0.118443,0.252429,40,1996
"780",1996-10-09,-0.564824,-1.10533,-0.105986,0.509286,41,1996
"781",1996-10-16,-0.444015,-1.40172,-0.173207,0.480571,42,1996
"782",1996-10-23,-0.541259,-1.40995,-0.0168323,3.012571,43,1996
"783",1996-10-30,-0.602288,-0.761998,0.0770026,-0.244571,44,1996
"784",1996-11-06,-0.611809,-0.600079,-0.149416,-0.788857,45,1996
"785",1996-11-13,-0.536612,-0.547346,-0.216774,-2.501143,46,1996
"786",1996-11-20,-0.37593,-0.612553,-0.19077,-2.176,47,1996
"787",1996-11-27,-0.486947,-0.997278,-0.290463,-1.163286,48,1996
"788",1996-12-04,-0.355126,-0.865748,-0.464012,-0.739429,49,1996
"789",1996-12-11,-0.524604,-0.184319,-0.509019,-0.620714,50,1996
"790",1996-12-18,-0.682611,-0.300611,0.0318171,0.248571,51,1996
"791",1996-12-25,-0.776417,-0.263714,-0.623678,0.551,52,1996
"792",1997-01-01,-0.836703,0.267687,-0.887215,1.046857,1,1997
"793",1997-01-08,-0.727171,-0.224061,-0.988473,1.067714,2,1997
"794",1997-01-15,-0.851445,-0.406621,-0.751855,0.638571,3,1997
"795",1997-01-22,-0.756641,-0.163034,-0.721466,-0.233857,4,1997
"796",1997-01-29,-0.480293,-0.150134,-0.570468,-0.808143,5,1997
"797",1997-02-05,-0.591888,0.0618476,-0.637648,-0.993714,6,1997
"798",1997-02-12,-0.388732,0.141151,-0.703334,0.191429,7,1997
"799",1997-02-19,-0.525192,0.335814,-0.81743,-0.057286,8,1997
"800",1997-02-26,-0.450309,0.077062,-0.847505,0.357571,9,1997
"801",1997-03-05,-0.47815,0.56594,-0.362564,0.677,10,1997
"802",1997-03-12,-0.443067,-0.00116097,-0.736088,1.234143,11,1997
"803",1997-03-19,0.0247091,0.2413,-1.00203,0.450143,12,1997
"804",1997-03-26,-0.145815,0.103632,-0.874866,0.252571,13,1997
"805",1997-04-02,-0.0804202,0.44206,-0.626668,-0.025143,14,1997
"806",1997-04-09,0.119436,0.450784,-0.964413,0.322571,15,1997
"807",1997-04-16,0.225714,-0.285007,-0.886147,-0.774429,16,1997
"808",1997-04-23,0.549423,0.16955,-0.801428,-0.892286,17,1997
"809",1997-04-30,0.500061,0.213575,-1.0666,-0.082714,18,1997
"810",1997-05-07,0.759996,0.236803,-0.984691,1.686571,19,1997
"811",1997-05-14,0.579671,-0.203419,-0.710466,0.640571,20,1997
"812",1997-05-21,0.692158,0.106012,-0.525099,0.664143,21,1997
"813",1997-05-28,0.965427,0.364327,-1.2865,1.161286,22,1997
"814",1997-06-04,1.02632,0.11186,-1.00025,-0.117143,23,1997
"815",1997-06-11,1.20228,-0.0853564,-0.868493,1.048857,24,1997
"816",1997-06-18,1.35358,-0.160479,-0.84403,-0.981286,25,1997
"817",1997-06-25,1.53716,0.666772,-0.855001,-1.825857,26,1997
"818",1997-07-02,1.49112,0.774218,-0.645706,0.251571,27,1997
"819",1997-07-09,1.54369,1.03262,-0.510179,1.183857,28,1997
"820",1997-07-16,1.70974,0.798407,-0.620093,0.758857,29,1997
"821",1997-07-23,1.64192,1.26405,-0.750222,0.666286,30,1997
"822",1997-07-30,1.78467,1.05682,-0.592514,0.491,31,1997
"823",1997-08-06,1.75953,1.10894,-0.577996,1.899429,32,1997
"824",1997-08-13,1.93456,0.769931,-0.676789,-0.126286,33,1997
"825",1997-08-20,2.01034,0.771208,-0.278744,0.065571,34,1997
"826",1997-08-27,1.96183,0.898768,-0.312005,1.289286,35,1997
"827",1997-09-03,2.03622,0.863635,-0.0335493,-0.069714,36,1997
"828",1997-09-10,2.11961,1.24419,-0.314009,0.608429,37,1997
"829",1997-09-17,2.14233,1.31195,-0.212875,0.643857,38,1997
"830",1997-09-24,2.17261,1.57217,-0.204507,-0.393571,39,1997
"831",1997-10-01,2.35756,2.09379,0.15709,-0.713714,40,1997
"832",1997-10-08,2.46203,2.4634,0.0818604,-1.875429,41,1997
"833",1997-10-15,2.41897,2.24999,0.445654,-0.580143,42,1997
"834",1997-10-22,2.52958,2.2272,0.553124,-0.025857,43,1997
"835",1997-10-29,2.47951,1.74521,0.533341,0.543571,44,1997
"836",1997-11-05,2.50181,2.33476,0.698204,-0.005857,45,1997
"837",1997-11-12,2.6216,2.41856,0.856998,-2.381429,46,1997
"838",1997-11-19,2.63088,2.49531,0.731106,-2.398714,47,1997
"839",1997-11-26,2.76585,2.05388,0.412241,-2.983571,48,1997
"840",1997-12-03,2.55414,1.62421,0.889407,-1.669429,49,1997
"841",1997-12-10,2.61353,0.819942,0.929034,-0.427571,50,1997
"842",1997-12-17,2.67184,1.24594,0.844439,-0.239857,51,1997
"843",1997-12-24,2.6341,0.88222,0.744409,-1.202286,52,1997
"844",1997-12-31,2.59108,0.725099,0.751472,-0.057,53,1997
"845",1998-01-07,2.5355,0.736096,0.789413,0.134857,1,1998
"846",1998-01-14,2.38882,0.8745,0.936752,0.262857,2,1998
"847",1998-01-21,2.31601,0.712366,0.649252,0.427857,3,1998
"848",1998-01-28,2.33982,0.18745,0.677774,0.719286,4,1998
"849",1998-02-04,2.41025,0.553245,0.502832,0.499429,5,1998
"850",1998-02-11,2.21936,-0.195231,0.368983,1.414571,6,1998
"851",1998-02-18,1.80005,0.728007,0.708683,-0.038143,7,1998
"852",1998-02-25,1.65876,0.481099,0.505922,-0.383286,8,1998
"853",1998-03-04,1.38804,0.322183,0.37643,-0.238143,9,1998
"854",1998-03-11,1.49878,-0.106616,0.395979,1.001571,10,1998
"855",1998-03-18,1.31633,-0.443672,0.482048,1.026286,11,1998
"856",1998-03-25,1.41222,-0.265683,0.414447,1.495857,12,1998
"857",1998-04-01,1.12342,0.203299,0.230784,0.389857,13,1998
"858",1998-04-08,0.940577,-0.0203202,0.335928,1.219714,14,1998
"859",1998-04-15,0.613989,-0.413671,0.395093,1.944857,15,1998
"860",1998-04-22,0.642515,-0.0762474,0.46079,2.858286,16,1998
"861",1998-04-29,0.785438,0.157917,0.512951,1.410714,17,1998
"862",1998-05-06,1.26477,0.378648,0.391004,-0.897286,18,1998
"863",1998-05-13,0.866807,0.253538,0.286999,-0.107571,19,1998
"864",1998-05-20,0.391861,-0.141761,0.345987,0.199143,20,1998
"865",1998-05-27,0.0474522,-0.302624,0.38535,0.468429,21,1998
"866",1998-06-03,-0.627211,-0.155602,0.311265,0.224286,22,1998
"867",1998-06-10,-0.857337,0.465267,0.389782,1.026286,23,1998
"868",1998-06-17,-0.997112,0.0832672,0.333123,1.474143,24,1998
"869",1998-06-24,-1.17422,-0.107611,0.451737,1.207,25,1998
"870",1998-07-01,-1.12462,-0.565457,0.509569,1.486429,26,1998
"871",1998-07-08,-1.21405,-0.654662,0.43705,2.205,27,1998
"872",1998-07-15,-1.42526,-0.775993,0.480267,1.464714,28,1998
"873",1998-07-22,-1.46734,-0.915943,0.548014,1.421714,29,1998
"874",1998-07-29,-1.44337,-0.916533,0.322877,0.273,30,1998
"875",1998-08-05,-1.4574,-0.519764,0.0573915,1.138857,31,1998
"876",1998-08-12,-1.46454,-1.05818,0.0593873,1.326286,32,1998
"877",1998-08-19,-1.66737,-0.906688,0.0566076,-0.851857,33,1998
"878",1998-08-26,-1.25251,-0.834945,0.104563,1.392143,34,1998
"879",1998-09-02,-1.22408,-0.603947,0.104007,1.662,35,1998
"880",1998-09-09,-0.89272,-0.746553,0.0410574,-1.102286,36,1998
"881",1998-09-16,-1.06787,-0.857632,0.0338298,-0.789286,37,1998
"882",1998-09-23,-1.27733,-0.795812,0.138585,0.106,38,1998
"883",1998-09-30,-1.67546,-1.19645,0.121639,0.365429,39,1998
"884",1998-10-07,-1.47673,-0.888328,-0.09145,0.894429,40,1998
"885",1998-10-14,-1.43748,-1.63683,0.111547,-0.388571,41,1998
"886",1998-10-21,-1.47536,-0.661635,-0.195367,-0.014857,42,1998
"887",1998-10-28,-1.23217,-0.838445,0.0610544,1.076,43,1998
"888",1998-11-04,-1.57778,-0.459639,0.143506,0.818,44,1998
"889",1998-11-11,-1.51264,-1.04936,0.358172,1.402857,45,1998
"890",1998-11-18,-1.45519,-0.719726,0.120932,1.007143,46,1998
"891",1998-11-25,-1.54803,-0.997167,0.0810373,-0.058,47,1998
"892",1998-12-02,-1.50922,-0.551929,-0.0224907,1.061286,48,1998
"893",1998-12-09,-1.80512,-0.844267,-0.123407,2.099429,49,1998
"894",1998-12-16,-1.89717,-0.247073,-0.0820839,1.846429,50,1998
"895",1998-12-23,-2.00297,-0.518829,-0.233532,1.120857,51,1998
"896",1998-12-30,-1.98968,-0.328271,-0.205225,0.362,52,1998
"897",1999-01-06,-1.96582,-0.0563904,-0.468333,1.226857,1,1999
"898",1999-01-13,-1.70103,-0.303138,-0.46342,1.457571,2,1999
"899",1999-01-20,-1.73986,-0.497357,-0.285105,0.537286,3,1999
"900",1999-01-27,-1.73499,-0.185755,-0.138259,0.805571,4,1999
"901",1999-02-03,-1.58993,-0.259239,-0.104205,0.790429,5,1999
"902",1999-02-10,-1.60769,0.0930547,-0.187456,0.839429,6,1999
"903",1999-02-17,-1.34185,0.18026,-0.224997,0.470143,7,1999
"904",1999-02-24,-1.29696,0.0931266,-0.192114,-0.224857,8,1999
"905",1999-03-03,-0.954432,0.397123,-0.108324,-0.784,9,1999
"906",1999-03-10,-1.07696,0.309361,0.0256962,1.281571,10,1999
"907",1999-03-17,-1.10011,0.131455,0.0815982,0.204,11,1999
"908",1999-03-24,-0.951006,0.331893,0.06424,-0.147571,12,1999
"909",1999-03-31,-1.05531,0.419432,-0.119222,0.605429,13,1999
"910",1999-04-07,-0.949405,0.40244,0.263307,1.031429,14,1999
"911",1999-04-14,-0.950871,0.131043,0.513297,0.508,15,1999
"912",1999-04-21,-0.8778,0.188853,0.454156,0.481714,16,1999
"913",1999-04-28,-0.817576,-0.0359814,0.233458,1.534714,17,1999
"914",1999-05-05,-0.864005,0.0547251,0.273583,1.221429,18,1999
"915",1999-05-12,-0.769257,-0.363893,0.335703,1.533571,19,1999
"916",1999-05-19,-0.997801,-0.752937,0.430304,2.398143,20,1999
"917",1999-05-26,-0.929375,-0.707959,0.24887,1.512857,21,1999
"918",1999-06-02,-1.11696,-0.645525,0.081808,0.635143,22,1999
"919",1999-06-09,-1.13131,-0.303321,0.127135,-0.516,23,1999
"920",1999-06-16,-1.08411,-0.355884,0.26456,-2.960429,24,1999
"921",1999-06-23,-1.04423,-0.241257,0.173529,-1.807,25,1999
"922",1999-06-30,-0.852176,0.189821,0.346665,-0.401,26,1999
"923",1999-07-07,-0.795096,-0.395664,0.204458,1.909143,27,1999
"924",1999-07-14,-0.914821,0.391831,0.555539,0.753286,28,1999
"925",1999-07-21,-0.990571,0.322172,0.50214,-1.219429,29,1999
"926",1999-07-28,-1.12738,-0.0911429,0.319148,-0.339429,30,1999
"927",1999-08-04,-1.0938,0.0490615,0.0349376,0.048286,31,1999
"928",1999-08-11,-1.373,-0.0367063,0.23329,-0.056857,32,1999
"929",1999-08-18,-1.46574,0.274271,0.305148,0.769,33,1999
"930",1999-08-25,-1.38213,0.0902687,0.16346,-0.476286,34,1999
"931",1999-09-01,-1.46371,0.223198,0.148042,0.066857,35,1999
"932",1999-09-08,-1.13775,0.398834,0.0258125,0.222857,36,1999
"933",1999-09-15,-1.09068,0.283499,-0.0605264,-0.439714,37,1999
"934",1999-09-22,-0.961855,-0.318335,-0.041968,0.023286,38,1999
"935",1999-09-29,-0.856173,-0.0884499,0.0100027,0.163286,39,1999
"936",1999-10-06,-1.1096,-0.181045,-0.00637056,2.224286,40,1999
"937",1999-10-13,-0.976793,-0.286953,0.0555103,1.034714,41,1999
"938",1999-10-20,-1.14709,-0.706254,0.189952,1.556,42,1999
"939",1999-10-27,-1.38859,-0.589067,0.127572,1.725429,43,1999
"940",1999-11-03,-1.34413,-0.488918,-0.0735499,1.604429,44,1999
"941",1999-11-10,-1.34577,-0.0232564,0.113299,-0.591,45,1999
"942",1999-11-17,-1.50867,-0.184472,0.140259,1.231429,46,1999
"943",1999-11-24,-1.97612,-0.204504,0.0182514,1.084143,47,1999
"944",1999-12-01,-1.77886,-0.90611,0.0251405,1.644714,48,1999
"945",1999-12-08,-1.49797,-0.211954,0.139871,2.611143,49,1999
"946",1999-12-15,-1.72209,0.053604,0.429571,1.195429,50,1999
"947",1999-12-22,-1.70759,0.155295,0.257867,1.311714,51,1999
"948",1999-12-29,-2.01827,0.093841,0.134035,1.760286,52,1999
"949",2000-01-05,-2.11739,0.0202243,-0.00196655,1.731714,1,2000
"950",2000-01-12,-1.98528,-0.307758,-0.00477646,1.145714,2,2000
"951",2000-01-19,-1.90546,0.369809,-0.0552557,1.269571,3,2000
"952",2000-01-26,-2.14858,-0.0092751,0.125665,1.224286,4,2000
"953",2000-02-02,-1.98869,0.238325,0.166115,-1.035143,5,2000
"954",2000-02-09,-1.65589,0.215459,0.122482,0.545,6,2000
"955",2000-02-16,-1.42143,0.498242,0.259379,1.694,7,2000
"956",2000-02-23,-1.70429,0.496994,0.363073,0.638571,8,2000
"957",2000-03-01,-1.57778,0.335007,0.24041,1.179857,9,2000
"958",2000-03-08,-1.46372,0.423245,0.103803,0.407,10,2000
"959",2000-03-15,-1.22602,0.815068,0.0494801,-0.458,11,2000
"960",2000-03-22,-1.13478,0.837022,0.0110237,-0.310714,12,2000
"961",2000-03-29,-0.735776,0.792458,0.103748,0.156286,13,2000
"962",2000-04-05,-0.634735,0.637952,0.0691182,1.161857,14,2000
"963",2000-04-12,-0.850616,0.629287,0.23353,0.858714,15,2000
"964",2000-04-19,-0.812798,0.277961,0.238217,-0.778,16,2000
"965",2000-04-26,-0.72095,0.447556,0.181571,-0.540429,17,2000
"966",2000-05-03,-0.750513,0.535958,0.151896,1.470429,18,2000
"967",2000-05-10,-0.771975,0.599523,0.0571716,2.495857,19,2000
"968",2000-05-17,-0.855773,-0.015384,0.260878,2.035857,20,2000
"969",2000-05-24,-0.715882,-0.00888446,0.214199,0.473857,21,2000
"970",2000-05-31,-0.583923,0.0984794,0.150157,-1.759714,22,2000
"971",2000-06-07,-0.688905,-0.200654,0.219395,-0.307286,23,2000
"972",2000-06-14,-0.620884,-0.422088,0.0889702,0.683286,24,2000
"973",2000-06-21,-0.584371,-0.260711,-0.0138468,0.108429,25,2000
"974",2000-06-28,-0.593481,-0.259232,-0.0390679,0.514286,26,2000
"975",2000-07-05,-0.554197,-0.0792652,-0.205603,1.032429,27,2000
"976",2000-07-12,-0.522184,0.000251351,-0.00742644,0.610571,28,2000
"977",2000-07-19,-0.52645,0.135447,-0.136273,-0.557429,29,2000
"978",2000-07-26,-0.692729,0.395132,-0.0194192,-0.679143,30,2000
"979",2000-08-02,-0.471029,0.378027,-0.100912,-1.244143,31,2000
"980",2000-08-09,-0.410067,0.36131,0.0961623,0.217,32,2000
"981",2000-08-16,-0.501,0.168139,0.315578,-0.310429,33,2000
"982",2000-08-23,-0.515789,0.115532,0.0137633,-1.129,34,2000
"983",2000-08-30,-0.456303,-0.135547,-0.118643,-1.884286,35,2000
"984",2000-09-06,-0.532962,-0.108835,-0.0559855,-4.355,36,2000
"985",2000-09-13,-0.665616,0.324774,-0.00918631,-2.062571,37,2000
"986",2000-09-20,-0.642854,0.586629,-0.0552976,-0.098,38,2000
"987",2000-09-27,-0.494608,0.0835156,-0.0450853,-0.025857,39,2000
"988",2000-10-04,-0.720218,-0.206482,0.007542,0.792571,40,2000
"989",2000-10-11,-0.738972,-0.0474574,-0.09591,-0.054286,41,2000
"990",2000-10-18,-0.853601,0.227186,0.0497761,-0.161429,42,2000
"991",2000-10-25,-0.843824,-0.217809,0.0837645,0.486429,43,2000
"992",2000-11-01,-1.13563,-0.142121,-0.0248763,0.025857,44,2000
"993",2000-11-08,-1.15341,-0.158657,0.0627769,-1.371429,45,2000
"994",2000-11-15,-0.782484,-0.188478,-0.152063,-1.552857,46,2000
"995",2000-11-22,-0.779997,-0.178369,-0.0879856,-1.619143,47,2000
"996",2000-11-29,-0.777457,-0.145166,-0.121768,-1.820286,48,2000
"997",2000-12-06,-1.08475,-0.336833,-0.299897,-0.730429,49,2000
"998",2000-12-13,-1.03628,0.0499102,-0.342285,-1.344571,50,2000
"999",2000-12-20,-1.04691,0.255783,-0.239059,-0.593286,51,2000
"1000",2000-12-27,-1.11041,-0.147551,-0.206528,-2.289571,52,2000
"1001",2001-01-03,-1.09541,0.0340503,-0.218271,-1.646286,1,2001
"1002",2001-01-10,-1.07654,0.183605,-0.145381,-0.813,2,2001
"1003",2001-01-17,-0.881503,0.214246,-0.239934,0.241143,3,2001
"1004",2001-01-24,-0.857012,0.213641,-0.0913637,0.306571,4,2001
"1005",2001-01-31,-0.763055,0.0189448,-0.148997,-0.569286,5,2001
"1006",2001-02-07,-0.852229,0.139993,-0.404615,-0.198286,6,2001
"1007",2001-02-14,-0.797062,0.889094,-0.149966,1.051286,7,2001
"1008",2001-02-21,-0.649374,0.803951,-0.154248,-0.891571,8,2001
"1009",2001-02-28,-0.584265,0.51736,-0.115795,-1.050286,9,2001
"1010",2001-03-07,-0.56327,0.770612,-0.101607,-1.176429,10,2001
"1011",2001-03-14,-0.454456,0.216516,-0.0779449,0.823429,11,2001
"1012",2001-03-21,-0.260859,0.584583,0.0958065,-1.306143,12,2001
"1013",2001-03-28,-0.455837,0.536061,0.0844745,-0.384571,13,2001
"1014",2001-04-04,-0.346886,0.357638,0.0804697,-0.35,14,2001
"1015",2001-04-11,-0.124611,0.184953,0.159642,0.467429,15,2001
"1016",2001-04-18,-0.181781,0.248335,0.119388,1.154429,16,2001
"1017",2001-04-25,-0.279545,0.225151,0.169743,0.423143,17,2001
"1018",2001-05-02,-0.38834,0.583939,0.295633,1.463286,18,2001
"1019",2001-05-09,-0.286682,-0.201766,0.328299,-0.350714,19,2001
"1020",2001-05-16,-0.407967,-0.288058,0.335415,0.366714,20,2001
"1021",2001-05-23,-0.157948,-0.148248,0.469288,-2.327571,21,2001
"1022",2001-05-30,-0.106259,-0.378372,0.345404,-0.002429,22,2001
"1023",2001-06-06,0.0439756,0.489149,0.171283,0.944714,23,2001
"1024",2001-06-13,-0.0300106,-0.633139,0.0691534,-0.238286,24,2001
"1025",2001-06-20,0.0859369,0.258752,0.102477,0.058143,25,2001
"1026",2001-06-27,0.0737194,-0.429223,0.289344,0.962857,26,2001
"1027",2001-07-04,0.0389137,0.160879,0.035294,0.649286,27,2001
"1028",2001-07-11,0.00128172,-0.976995,-0.13791,-1.155143,28,2001
"1029",2001-07-18,0.0669147,-0.918147,-0.202327,-3.271714,29,2001
"1030",2001-07-25,-0.0114544,-0.548187,-0.213468,-0.037857,30,2001
"1031",2001-08-01,0.0656519,-0.277636,-0.00955662,1.071571,31,2001
"1032",2001-08-08,0.0489554,-0.564562,-0.077704,1.442143,32,2001
"1033",2001-08-15,-0.0725859,-0.860265,-0.0618021,1.572857,33,2001
"1034",2001-08-22,-0.0539741,-0.615711,-0.128344,-0.491857,34,2001
"1035",2001-08-29,-0.228792,-0.57879,-0.337364,0.023286,35,2001
"1036",2001-09-05,-0.165115,-0.159734,-0.330019,0.532571,36,2001
"1037",2001-09-12,-0.21086,-0.354523,-0.144534,0.560143,37,2001
"1038",2001-09-19,-0.243409,-0.496492,-0.193321,1.432143,38,2001
"1039",2001-09-26,-0.313104,-0.692111,-0.246722,1.921,39,2001
"1040",2001-10-03,-0.270441,-0.299351,-0.128312,3.205714,40,2001
"1041",2001-10-10,-0.268052,-0.316318,-0.0531573,1.588857,41,2001
"1042",2001-10-17,-0.142164,-0.800605,0.0450573,0.513714,42,2001
"1043",2001-10-24,-0.124975,-0.487128,-0.11411,0.247,43,2001
"1044",2001-10-31,-0.122102,-0.0243107,0.0250121,0.241571,44,2001
"1045",2001-11-07,-0.151964,0.341443,-0.00984697,1.348286,45,2001
"1046",2001-11-14,-0.14721,-0.114461,-0.0450634,0.938,46,2001
"1047",2001-11-21,-0.391398,0.255601,-0.116516,0.697857,47,2001
"1048",2001-11-28,-0.353279,0.135435,-0.201594,1.501286,48,2001
"1049",2001-12-05,-0.527755,-0.0862437,-0.212444,2.532,49,2001
"1050",2001-12-12,-0.482464,0.790691,-0.25158,2.483286,50,2001
"1051",2001-12-19,-0.47374,0.0559079,-0.349858,1.493714,51,2001
"1052",2001-12-26,-0.415009,-0.00312278,-0.465639,-0.103143,52,2001
"1053",2002-01-02,-0.463118,-0.198812,-0.487841,-0.410571,1,2002
"1054",2002-01-09,-0.199154,-0.39011,-0.269886,-0.283714,2,2002
"1055",2002-01-16,-0.2311,-0.0773406,-0.212706,0.546143,3,2002
"1056",2002-01-23,-0.0683979,-0.368065,-0.364978,1.584571,4,2002
"1057",2002-01-30,-0.0389102,-0.52003,-0.356326,1.778429,5,2002
"1058",2002-02-06,0.177769,0.15201,-0.383522,2.052857,6,2002
"1059",2002-02-13,0.233018,0.353921,-0.383103,1.404714,7,2002
"1060",2002-02-20,-0.0404809,0.0787975,-0.450977,0.870143,8,2002
"1061",2002-02-27,0.0563839,0.463825,-0.340665,0.120429,9,2002
"1062",2002-03-06,0.0442899,-0.63222,-0.199498,-0.991571,10,2002
"1063",2002-03-13,0.0292368,-0.398202,0.02966,-1.930857,11,2002
"1064",2002-03-20,0.0541319,-0.152587,0.0020623,-2.786857,12,2002
"1065",2002-03-27,-0.0253807,-0.280479,0.0548192,-1.712286,13,2002
"1066",2002-04-03,0.156906,0.0126517,0.183471,0.027429,14,2002
"1067",2002-04-10,0.258982,-0.160674,0.159791,0.480429,15,2002
"1068",2002-04-17,0.10885,-0.518476,0.253913,0.197857,16,2002
"1069",2002-04-24,0.188171,-0.194449,0.199956,0.060714,17,2002
"1070",2002-05-01,0.147388,-0.363811,0.364712,-1.355714,18,2002
"1071",2002-05-08,0.140125,-0.35625,0.436116,-2.832857,19,2002
"1072",2002-05-15,0.0896554,-0.482568,0.299618,-2.220714,20,2002
"1073",2002-05-22,0.385512,-0.153308,0.182295,-2.298714,21,2002
"1074",2002-05-29,0.630943,-0.394579,0.282833,-3.907571,22,2002
"1075",2002-06-05,0.880693,-0.347476,0.13527,-2.147429,23,2002
"1076",2002-06-12,0.879991,-0.0751982,-0.0528024,-2.464429,24,2002
"1077",2002-06-19,0.749465,-0.175047,0.0206402,-0.476429,25,2002
"1078",2002-06-26,0.675086,-0.621686,-0.0435789,0.849286,26,2002
"1079",2002-07-03,0.591655,-0.213818,-0.193652,-0.074429,27,2002
"1080",2002-07-10,0.612804,-0.637361,-0.183911,-2.228,28,2002
"1081",2002-07-17,0.734371,-0.334721,-0.146459,-0.864286,29,2002
"1082",2002-07-24,0.731501,-0.547258,-0.154413,-0.038,30,2002
"1083",2002-07-31,0.800222,-0.408503,-0.118563,1.285429,31,2002
"1084",2002-08-07,0.77698,-0.379839,0.223815,0.115143,32,2002
"1085",2002-08-14,0.840045,-0.361916,-0.0647683,-0.291143,33,2002
"1086",2002-08-21,0.907244,-0.502754,-0.502403,-0.459,34,2002
"1087",2002-08-28,0.948083,-0.241121,-0.7804,-0.366286,35,2002
"1088",2002-09-04,0.879478,0.400037,-0.340331,-0.267,36,2002
"1089",2002-09-11,0.98398,0.956416,-0.301684,-0.966,37,2002
"1090",2002-09-18,1.1024,0.562286,-0.329675,-0.526571,38,2002
"1091",2002-09-25,1.13929,0.425678,-0.132611,-1.621143,39,2002
"1092",2002-10-02,1.19152,0.754477,-0.214127,-1.448857,40,2002
"1093",2002-10-09,1.09647,0.641948,-0.143356,-2.431143,41,2002
"1094",2002-10-16,1.09554,0.390082,-0.153484,-2.886286,42,2002
"1095",2002-10-23,1.45927,0.76175,0.0556483,-2.624429,43,2002
"1096",2002-10-30,1.58399,0.507524,-0.0925683,-2.694714,44,2002
"1097",2002-11-06,1.52536,0.835947,-0.292829,-1.948143,45,2002
"1098",2002-11-13,1.62938,0.159096,-0.339308,-1.859571,46,2002
"1099",2002-11-20,1.62075,0.0683004,-0.415327,-0.240143,47,2002
"1100",2002-11-27,1.50859,-0.191744,-0.406276,1.145,48,2002
"1101",2002-12-04,1.58087,-0.422935,-0.108177,1.810286,49,2002
"1102",2002-12-11,1.41773,-0.45128,-0.200749,1.922857,50,2002
"1103",2002-12-18,1.45405,-0.357892,0.0226034,1.172429,51,2002
"1104",2002-12-25,1.37784,-0.044116,0.134631,0.370571,52,2002
"1105",2003-01-01,1.40106,-0.169592,0.0989986,0.296857,1,2003
"1106",2003-01-08,1.21509,-0.208283,0.127521,-0.448143,2,2003
"1107",2003-01-15,1.04396,-0.593519,0.177622,-1.288857,3,2003
"1108",2003-01-22,1.04291,-0.0870572,0.26556,-1.958143,4,2003
