"","dmi.anom","wtio.anom","etio.anom","date","week"
"1",-0.0624965351436504,0.200544131758951,0.263040666902602,1981-11-04,44
"2",-0.27886391006412,0.00657047154214101,0.285434381606261,1981-11-11,45
"3",-0.394537281733076,-0.266225890094893,0.128311391638183,1981-11-18,46
"4",-0.369909345842458,-0.366516492184644,0.00339285365781379,1981-11-25,47
"5",-0.111285462127538,-0.319170297918813,-0.207884835791275,1981-12-02,48
"6",0.173564013388594,-0.178303375120924,-0.351867388509518,1981-12-09,49
"7",-0.0689642878044479,-0.293620943027179,-0.224656655222731,1981-12-16,50
"8",-0.498209071182393,-0.56913713622436,-0.0709280650419674,1981-12-23,51
"9",-0.526806986109009,-0.621262066547783,-0.094455080438774,1981-12-30,52
"10",-0.172331764408139,-0.372351636775092,-0.200019872366953,1982-01-06,1
"11",0.259999858138251,-0.192674706434568,-0.452674564572819,1982-01-13,2
"12",0.353640788518621,-0.260486022363774,-0.614126810882395,1982-01-20,3
"13",0.287782520747275,-0.187218861914562,-0.475001382661837,1982-01-27,4
"14",0.121864097064085,-0.156742906589786,-0.278607003653871,1982-02-03,5
"15",0.237926327021741,-0.208429830817879,-0.44635615783962,1982-02-10,6
"16",0.272581803201361,-0.188202158551656,-0.460783961753017,1982-02-17,7
"17",0.0386857090617382,-0.324779326671887,-0.363465035733626,1982-02-24,8
"18",0.263837184558735,-0.248630791200968,-0.512467975759703,1982-03-03,9
"19",0.254904951590119,-0.282607719817354,-0.537512671407472,1982-03-10,10
"20",0.275039214194593,-0.328728352086319,-0.603767566280912,1982-03-17,11
"21",0.484363836595386,-0.00351145190186507,-0.487875288497251,1982-03-24,12
"22",0.342801240543117,0.118089613357441,-0.224711627185676,1982-03-31,13
"23",0.315365558333915,0.0785700234401045,-0.236795534893811,1982-04-07,14
"24",0.344476653528746,0.0497119972393331,-0.294764656289413,1982-04-14,15
"25",0.394317799990747,-0.0112584876652516,-0.405576287655999,1982-04-21,16
"26",0.632301308136781,0.294718545556248,-0.337582762580533,1982-04-28,17
"27",0.562885256593127,0.516127717623828,-0.0467575389692994,1982-05-05,18
"28",0.418558343614293,0.290720124085609,-0.127838219528684,1982-05-12,19
"29",0.570253362074853,0.0573836396581196,-0.512869722416734,1982-05-19,20
"30",0.869800496205765,0.16441172958085,-0.705388766624915,1982-05-26,21
"31",0.903815057057621,0.154636204427288,-0.749178852630334,1982-06-02,22
"32",0.686159294177497,-0.0557079577214145,-0.741867251898911,1982-06-09,23
"33",0.879468110210364,0.187127591251281,-0.692340518959083,1982-06-16,24
