"","olr.anom","date","week","year"
"10134",3.45902142279951,2002-02-27,9,2002
"10141",2.29644512961676,2002-03-06,10,2002
"10148",-3.3385578336262,2002-03-13,11,2002
"10155",-4.09057436398272,2002-03-20,12,2002
"10162",1.2665686941608,2002-03-27,13,2002
"10169",-2.6397396551405,2002-04-03,14,2002
"10176",12.9121975248286,2002-04-10,15,2002
"10183",4.34087130801707,2002-04-17,16,2002
"10190",1.49888162903488,2002-04-24,17,2002
"10197",-4.39314155154061,2002-05-01,18,2002
"10204",-15.7018851119846,2002-05-08,19,2002
"10211",11.9848887175762,2002-05-15,20,2002
"10218",15.1620185453483,2002-05-22,21,2002
"10225",5.92221847566902,2002-05-29,22,2002
"10232",7.68763298306465,2002-06-05,23,2002
"10239",-4.57629205943351,2002-06-12,24,2002
"10246",-11.9315680443499,2002-06-19,25,2002
"10253",-11.7564143191764,2002-06-26,26,2002
"10260",-2.35538936170255,2002-07-03,27,2002
"10267",9.80748745148068,2002-07-10,28,2002
"10274",12.8131522888124,2002-07-17,29,2002
"10281",7.08122610694629,2002-07-24,30,2002
"10288",3.78919257671942,2002-07-31,31,2002
"10295",-4.14367366908877,2002-08-07,32,2002
"10302",-7.3828574945635,2002-08-14,33,2002
"10309",9.29633137064368,2002-08-21,34,2002
"10316",7.17366368259787,2002-08-28,35,2002
"10323",7.74465756082588,2002-09-04,36,2002
"10330",5.06263536860081,2002-09-11,37,2002
"10337",7.04972464449189,2002-09-18,38,2002
"10344",3.92805376177907,2002-09-25,39,2002
"10351",2.9019737565924,2002-10-02,40,2002
"10358",4.03237393776082,2002-10-09,41,2002
"10365",18.2269519518042,2002-10-16,42,2002
"10372",18.0703243502448,2002-10-23,43,2002
"10379",16.6468116677825,2002-10-30,44,2002
"10386",7.34271116581936,2002-11-06,45,2002
"10393",4.26327355101295,2002-11-13,46,2002
"10400",-10.6794609149167,2002-11-20,47,2002
"10407",-5.00054245537986,2002-11-27,48,2002
"10414",31.40528867314,2002-12-04,49,2002
"10421",26.4540655181,2002-12-11,50,2002
"10428",28.6707010587578,2002-12-18,51,2002
"10435",-0.370889790199247,2002-12-25,52,2002
"10442",-10.63607879021,2003-01-01,1,2003
"10449",1.01518071054949,2003-01-08,2,2003
"10456",10.436655999342,2003-01-15,3,2003
"10463",10.1671765864127,2003-01-22,4,2003
"10470",-6.88002025525905,2003-01-29,5,2003
"10477",-3.15796365912896,2003-02-05,6,2003
"10484",20.1502758086129,2003-02-12,7,2003
"10491",-9.0958896677905,2003-02-19,8,2003
"10498",-7.47300849740797,2003-02-26,9,2003
"10505",-0.612534599788059,2003-03-05,10,2003
"10512",7.00783902277188,2003-03-12,11,2003
"10519",8.10035637317046,2003-03-19,12,2003
"10526",-6.52851756373758,2003-03-26,13,2003
"10533",-9.87130257881943,2003-04-02,14,2003
"10540",17.9031275131577,2003-04-09,15,2003
"10547",17.4447409454607,2003-04-16,16,2003
"10554",-0.842256328339407,2003-04-23,17,2003
"10561",-3.95644453346008,2003-04-30,18,2003
"10568",-7.20254777076507,2003-05-07,19,2003
"10575",-15.0949864802842,2003-05-14,20,2003
"10582",-1.28087491496726,2003-05-21,21,2003
"10589",12.7237521100057,2003-05-28,22,2003
"10596",21.0705862905209,2003-06-04,23,2003
"10603",17.1679747427994,2003-06-11,24,2003
"10610",17.0148077645893,2003-06-18,25,2003
"10617",13.3813596165211,2003-06-25,26,2003
"10624",5.31116256465128,2003-07-02,27,2003
"10631",-3.9347249182648,2003-07-09,28,2003
"10638",-8.54256429677008,2003-07-16,29,2003
"10645",-1.6717595306271,2003-07-23,30,2003
"10652",5.90955069692559,2003-07-30,31,2003
"10659",8.48572362026152,2003-08-06,32,2003
"10666",4.68330432976,2003-08-13,33,2003
"10673",-3.52552501371356,2003-08-20,34,2003
"10680",1.48064329702417,2003-08-27,35,2003
"10687",-4.81600643257909,2003-09-03,36,2003
"10694",-12.1312577048878,2003-09-10,37,2003
"10701",-9.21210971277696,2003-09-17,38,2003
"10708",-0.490493951618061,2003-09-24,39,2003
"10715",-0.213960435473825,2003-10-01,40,2003
"10722",-5.99992148864446,2003-10-08,41,2003
"10729",-13.3934316433826,2003-10-15,42,2003
"10736",2.20581414333538,2003-10-22,43,2003
"10743",7.93568724434838,2003-10-29,44,2003
"10750",1.66922854984571,2003-11-05,45,2003
"10757",-2.9455889777214,2003-11-12,46,2003
"10764",3.41257227522742,2003-11-19,47,2003
"10771",0.909966174840317,2003-11-26,48,2003
"10778",-2.08407223259534,2003-12-03,49,2003
"10785",-10.6109341780969,2003-12-10,50,2003
"10792",-25.1978843565321,2003-12-17,51,2003
"10799",-10.1725045406127,2003-12-24,52,2003
"10806",6.39324600413271,2003-12-31,53,2003
"10813",18.5550719432495,2004-01-07,1,2004
"10820",19.1635465282655,2004-01-14,2,2004
"10827",14.7998655645162,2004-01-21,3,2004
"10834",-0.503851799533582,2004-01-28,4,2004
"10841",-21.8569682876958,2004-02-04,5,2004
"10848",-17.2822589704962,2004-02-11,6,2004
"10855",-0.329832236664292,2004-02-18,7,2004
"10862",0.327471979857989,2004-02-25,8,2004
"10869",-12.5329514973852,2004-03-03,9,2004
"10876",-19.4965255686286,2004-03-10,10,2004
"10883",-29.2101021345831,2004-03-17,11,2004
"10890",10.4645276570809,2004-03-24,12,2004
"10897",20.4670001164468,2004-03-31,13,2004
"10904",4.33449296047093,2004-04-07,14,2004
"10911",14.0483436772389,2004-04-14,15,2004
"10918",12.1344680508667,2004-04-21,16,2004
"10925",-8.96046681428764,2004-04-28,17,2004
"10932",-16.0742379692257,2004-05-05,18,2004
"10939",-12.208766212178,2004-05-12,19,2004
"10946",8.20042562119929,2004-05-19,20,2004
"10953",-11.1846257307738,2004-05-26,21,2004
"10960",-15.1016227068365,2004-06-02,22,2004
"10967",-12.151794078278,2004-06-09,23,2004
"10974",9.75749218162903,2004-06-16,24,2004
"10981",1.05209559899077,2004-06-23,25,2004
"10988",9.88295279926565,2004-06-30,26,2004
"10995",9.80898225850164,2004-07-07,27,2004
"11002",0.5918507996644,2004-07-14,28,2004
"11009",4.23845441969886,2004-07-21,29,2004
"11016",-10.2163509304351,2004-07-28,30,2004
"11023",-8.03699106673193,2004-08-04,31,2004
"11030",-3.99011493914443,2004-08-11,32,2004
"11037",2.31810954986693,2004-08-18,33,2004
"11044",10.3761451497689,2004-08-25,34,2004
"11051",10.8775912033593,2004-09-01,35,2004
"11058",0.214544939945447,2004-09-08,36,2004
"11065",-1.00641397811313,2004-09-15,37,2004
"11072",2.77945651401188,2004-09-22,38,2004
"11079",2.06835042765076,2004-09-29,39,2004
"11086",-2.27706563196151,2004-10-06,40,2004
"11093",9.91754146014993,2004-10-13,41,2004
"11100",22.7343949899179,2004-10-20,42,2004
"11107",12.5851346696763,2004-10-27,43,2004
"11114",14.196582126134,2004-11-03,44,2004
"11121",11.2492078363219,2004-11-10,45,2004
"11128",10.291558921191,2004-11-17,46,2004
"11135",6.47070252321451,2004-11-24,47,2004
"11142",-5.58451714688964,2004-12-01,48,2004
"11149",5.31735330767175,2004-12-08,49,2004
"11156",15.3723025243549,2004-12-15,50,2004
"11163",4.79788572701259,2004-12-22,51,2004
"11170",-4.41207463729785,2004-12-29,52,2004
"11177",-13.1171571812317,2005-01-05,1,2005
"11184",-4.74025140809852,2005-01-12,2,2005
"11191",5.45656975778178,2005-01-19,3,2005
"11198",13.6923173481517,2005-01-26,4,2005
"11205",0.0716864907535353,2005-02-02,5,2005
"11212",11.3903105613157,2005-02-09,6,2005
"11219",21.1108529356937,2005-02-16,7,2005
"11226",23.7127395818343,2005-02-23,8,2005
"11233",20.9862682001829,2005-03-02,9,2005
"11240",11.9009698276044,2005-03-09,10,2005
"11247",10.294735929115,2005-03-16,11,2005
"11254",-6.76563847892179,2005-03-23,12,2005
"11261",-18.4668639398046,2005-03-30,13,2005
"11268",-17.9367929924581,2005-04-06,14,2005
"11275",-12.0164548637614,2005-04-13,15,2005
"11282",11.8067190881933,2005-04-20,16,2005
"11289",16.3732228674028,2005-04-27,17,2005
"11296",-4.95745179356649,2005-05-04,18,2005
"11303",-9.71489737225965,2005-05-11,19,2005
"11310",15.2643065116357,2005-05-18,20,2005
"11317",-1.03096024577565,2005-05-25,21,2005
"11324",6.39128479877176,2005-06-01,22,2005
"11331",4.80027980717748,2005-06-08,23,2005
"11338",-4.30788248602778,2005-06-15,24,2005
"11345",3.47329173702318,2005-06-22,25,2005
"11352",0.883568831341863,2005-06-29,26,2005
"11359",-1.3566597266102,2005-07-06,27,2005
"11366",1.0080658468809,2005-07-13,28,2005
"11373",-8.52058126464519,2005-07-20,29,2005
"11380",-14.223756227366,2005-07-27,30,2005
"11387",-0.332996365593999,2005-08-03,31,2005
"11394",7.49662860067768,2005-08-10,32,2005
"11401",2.01984234522986,2005-08-17,33,2005
"11408",-13.5450953782273,2005-08-24,34,2005
"11415",-3.56729305359294,2005-08-31,35,2005
"11422",-8.34539310534029,2005-09-07,36,2005
"11429",-3.18405555250677,2005-09-14,37,2005
"11436",1.78292445428839,2005-09-21,38,2005
"11443",-2.28073004335439,2005-09-28,39,2005
"11450",1.26705112086436,2005-10-05,40,2005
"11457",-0.269676567080004,2005-10-12,41,2005
"11464",-11.6367864622609,2005-10-19,42,2005
"11471",-8.36089664670838,2005-10-26,43,2005
"11478",-16.7291343492697,2005-11-02,44,2005
"11485",-8.70449755487464,2005-11-09,45,2005
"11492",-4.83513979715378,2005-11-16,46,2005
"11499",-9.14542709508181,2005-11-23,47,2005
"11506",-3.81404817256682,2005-11-30,48,2005
"11513",-18.6808596294402,2005-12-07,49,2005
"11520",-23.0378941886159,2005-12-14,50,2005
"11527",-18.076695259617,2005-12-21,51,2005
"11534",-2.19774730494729,2005-12-28,52,2005
"11541",-6.54705602123385,2006-01-04,1,2006
"11548",0.623886431396297,2006-01-11,2,2006
"11555",-28.4598025487204,2006-01-18,3,2006
"11562",-11.0531835758698,2006-01-25,4,2006
"11569",-2.28606861399826,2006-02-01,5,2006
"11576",5.8573839407266,2006-02-08,6,2006
"11583",4.97887498072108,2006-02-15,7,2006
"11590",-4.66490089422132,2006-02-22,8,2006
"11597",-11.1793399475901,2006-03-01,9,2006
"11604",-0.776358382676514,2006-03-08,10,2006
"11611",-10.1688891992452,2006-03-15,11,2006
"11618",-13.3101482615697,2006-03-22,12,2006
"11625",-27.5132644525259,2006-03-29,13,2006
"11632",-12.9480597334738,2006-04-05,14,2006
"11639",-1.98460149878112,2006-04-12,15,2006
"11646",-17.3576991777629,2006-04-19,16,2006
"11653",-22.9369794148087,2006-04-26,17,2006
"11660",-8.93664854769216,2006-05-03,18,2006
"11667",10.5772262460956,2006-05-10,19,2006
"11674",0.316737041950144,2006-05-17,20,2006
"11681",-12.6233030962653,2006-05-24,21,2006
"11688",14.1442199523775,2006-05-31,22,2006
"11695",2.3552475776272,2006-06-07,23,2006
"11702",-10.9288376586911,2006-06-14,24,2006
"11709",-11.6778270042123,2006-06-21,25,2006
"11716",-16.1243936886341,2006-06-28,26,2006
"11723",5.87575338568857,2006-07-05,27,2006
"11730",0.0727939363782265,2006-07-12,28,2006
"11737",1.72644072181991,2006-07-19,29,2006
"11744",5.21858866356994,2006-07-26,30,2006
"11751",-1.86611209643431,2006-08-02,31,2006
"11758",-7.30665713147948,2006-08-09,32,2006
"11765",11.3779197969389,2006-08-16,33,2006
"11772",9.20502728288624,2006-08-23,34,2006
"11779",3.29729284465927,2006-08-30,35,2006
"11786",14.1072104121715,2006-09-06,36,2006
"11793",5.38118591330382,2006-09-13,37,2006
"11800",-6.67504522304045,2006-09-20,38,2006
"11807",-4.72506220900563,2006-09-27,39,2006
"11814",5.64752231807695,2006-10-04,40,2006
"11821",14.8997359066228,2006-10-11,41,2006
"11828",21.5988480568908,2006-10-18,42,2006
"11835",19.6546375593934,2006-10-25,43,2006
"11842",12.3687715858795,2006-11-01,44,2006
"11849",23.4396540281226,2006-11-08,45,2006
"11856",24.9259287296587,2006-11-15,46,2006
"11863",20.2563278168466,2006-11-22,47,2006
"11870",16.0518065908045,2006-11-29,48,2006
"11877",16.569878987766,2006-12-06,49,2006
"11884",12.7285801675607,2006-12-13,50,2006
"11891",12.8706941273038,2006-12-20,51,2006
"11898",-11.6913293930326,2006-12-27,52,2006
"11905",-25.9890547903735,2007-01-03,1,2007
"11912",2.80192890095974,2007-01-10,2,2007
"11919",13.4966348859727,2007-01-17,3,2007
"11926",4.3205957689374,2007-01-24,4,2007
"11933",1.97226109907199,2007-01-31,5,2007
"11940",5.13168629589813,2007-02-07,6,2007
"11947",10.9825364853148,2007-02-14,7,2007
"11954",-0.500030952054719,2007-02-21,8,2007
"11961",-11.8330436296759,2007-02-28,9,2007
"11968",7.67640762200192,2007-03-07,10,2007
"11975",-7.7300909852289,2007-03-14,11,2007
"11982",-16.6318819300867,2007-03-21,12,2007
"11989",-6.72119112358703,2007-03-28,13,2007
"11996",6.34992860273122,2007-04-04,14,2007
"12003",-1.21915065981369,2007-04-11,15,2007
"12010",1.27151946826608,2007-04-18,16,2007
"12017",-4.35670083703724,2007-04-25,17,2007
"12024",-13.9433211640895,2007-05-02,18,2007
"12031",-3.57472487595049,2007-05-09,19,2007
"12038",4.54992733149025,2007-05-16,20,2007
"12045",13.4729609252284,2007-05-23,21,2007
"12052",-0.285093596497595,2007-05-30,22,2007
"12059",6.17218268459764,2007-06-06,23,2007
"12066",2.64280043467385,2007-06-13,24,2007
"12073",-5.43236753140067,2007-06-20,25,2007
"12080",-0.703184460927523,2007-06-27,26,2007
"12087",-5.42297761717896,2007-07-04,27,2007
"12094",-2.47559014373457,2007-07-11,28,2007
"12101",6.4040345212177,2007-07-18,29,2007
"12108",-11.1719722570326,2007-07-25,30,2007
"12115",-13.3936665352663,2007-08-01,31,2007
"12122",7.90383357170612,2007-08-08,32,2007
"12129",0.797069699257979,2007-08-15,33,2007
"12136",-3.8680649675206,2007-08-22,34,2007
"12143",5.21209953189909,2007-08-29,35,2007
"12150",3.55993398956562,2007-09-05,36,2007
"12157",-8.76201033354492,2007-09-12,37,2007
"12164",-7.37951924782093,2007-09-19,38,2007
"12171",-9.10006607953305,2007-09-26,39,2007
"12178",14.1476266249599,2007-10-03,40,2007
"12185",4.58775050756815,2007-10-10,41,2007
"12192",-0.680016625554755,2007-10-17,42,2007
"12199",-12.1080969456918,2007-10-24,43,2007
"12206",-5.73209062417745,2007-10-31,44,2007
"12213",-9.99676192734742,2007-11-07,45,2007
"12220",-25.9153262381863,2007-11-14,46,2007
"12227",-9.39685575662661,2007-11-21,47,2007
"12234",4.10100441399319,2007-11-28,48,2007
"12241",15.0430266231725,2007-12-05,49,2007
"12248",3.21154317526529,2007-12-12,50,2007
"12255",-7.29596139820642,2007-12-19,51,2007
"12262",-19.2584212525506,2007-12-26,52,2007
"12269",-21.3567608408255,2008-01-02,1,2008
"12276",0.951099721200892,2008-01-09,2,2008
"12283",0.681442630401343,2008-01-16,3,2008
"12290",9.7397506042816,2008-01-23,4,2008
"12297",2.58505463919594,2008-01-30,5,2008
"12304",-16.3153325509334,2008-02-06,6,2008
"12311",-20.7275514863883,2008-02-13,7,2008
"12318",-20.0649571044178,2008-02-20,8,2008
"12325",-14.7421151794972,2008-02-27,9,2008
"12332",-7.57322972139869,2008-03-05,10,2008
"12339",2.7308828059253,2008-03-12,11,2008
"12346",-6.07016915522629,2008-03-19,12,2008
"12353",-9.31062999851314,2008-03-26,13,2008
"12360",-3.30805084751897,2008-04-02,14,2008
"12367",4.11476956498395,2008-04-09,15,2008
"12374",-12.3695503378236,2008-04-16,16,2008
"12381",-17.3690105812905,2008-04-23,17,2008
"12388",-4.59218049049668,2008-04-30,18,2008
"12395",-9.26578790972879,2008-05-07,19,2008
"12402",-6.42297749191365,2008-05-14,20,2008
"12409",11.2766406558461,2008-05-21,21,2008
"12416",8.3833088825228,2008-05-28,22,2008
"12423",-3.69541823322987,2008-06-04,23,2008
"12430",-2.60395752401219,2008-06-11,24,2008
