"","anom","date","week"
"149",1.01443960836383,1981-11-04,44
"150",0.198683493932083,1981-11-11,45
"151",0.731792837405546,1981-11-18,46
"152",0.733423986113816,1981-11-25,47
"153",0.0216110664856197,1981-12-02,48
"154",1.12308149252619,1981-12-09,49
"155",1.1583072245121,1981-12-16,50
"156",1.688097323708,1981-12-23,51
"157",0.585761378956225,1981-12-30,52
"158",-0.475986286857143,1982-01-06,1
"159",-0.166351651582221,1982-01-13,2
"160",-0.899683458571429,1982-01-20,3
"161",-0.665634112714286,1982-01-27,4
"162",-0.431807141285714,1982-02-03,5
"163",-0.331072243992233,1982-02-10,6
"164",0.309626733664632,1982-02-17,7
"165",1.2635822637006,1982-02-24,8
"166",1.7072160584586,1982-03-03,9
"167",2.03426928178459,1982-03-10,10
"168",0.694954542136396,1982-03-17,11
"169",1.33399207670741,1982-03-24,12
"170",1.97079309395381,1982-03-31,13
"171",1.29717497740473,1982-04-07,14
"172",1.76418070276822,1982-04-14,15
"173",0.872780425227666,1982-04-21,16
"174",1.76321813038417,1982-04-28,17
"175",1.65724031840052,1982-05-05,18
"176",-0.14363848653316,1982-05-12,19
"177",-0.920110528,1982-05-19,20
"178",-0.383191004951134,1982-05-26,21
"179",0.829106135027749,1982-06-02,22
"180",-0.337831137575219,1982-06-09,23
"181",1.16084556068693,1982-06-16,24
"182",1.66241984707969,1982-06-23,25
"183",0.714884411031585,1982-06-30,26
"184",-1.07049649957143,1982-07-07,27
"185",-2.04757983342857,1982-07-14,28
"186",0.0650566561031887,1982-07-21,29
"187",1.18320180688586,1982-07-28,30
"188",1.21344973359789,1982-08-04,31
"189",0.460524622883116,1982-08-11,32
"190",0.0705899595785174,1982-08-18,33
"191",1.11567472562644,1982-08-25,34
"192",0.901333749294281,1982-09-01,35
"193",1.54374352530351,1982-09-08,36
"194",2.06584049122674,1982-09-15,37
"195",1.71246901586718,1982-09-22,38
"196",1.191729085786,1982-09-29,39
"197",-0.626142431480059,1982-10-06,40
"198",-1.30867843971429,1982-10-13,41
"199",-0.916131441142857,1982-10-20,42
"200",-0.59303015465709,1982-10-27,43
"201",-0.253861112435626,1982-11-03,44
"202",-1.03226189957143,1982-11-10,45
"203",-0.356272442,1982-11-17,46
"204",-1.55043734814286,1982-11-24,47
"205",-0.803356434571429,1982-12-01,48
"206",-1.15941865942857,1982-12-08,49
"207",-2.70514937814286,1982-12-15,50
