year,month,day,aao_index_cdas
1984,3,23,0.12710602581501007
1984,3,24,-0.136652887
1984,3,25,-0.719850898
1984,3,26,-0.664753437
1984,3,27,-0.05344164
1984,3,28,0.6764677166938782
1984,3,29,1.2020004987716675
1984,3,30,1.1526647806167603
1984,3,31,0.7504119873046875
1984,4,1,0.7229396104812622
1984,4,2,0.5004088282585144
1984,4,3,0.19697485864162445
1984,4,4,-0.13009581
1984,4,5,-0.049055789
1984,4,6,-0.672472358
1984,4,7,-1.310757399
1984,4,8,-1.134903193
1984,4,9,-0.947090924
1984,4,10,-0.672589123
1984,4,11,-0.50818193
1984,4,12,-0.503574967
1984,4,13,-0.58703351
1984,4,14,-0.570374429
1984,4,15,-0.342771977
1984,4,16,0.008919765
1984,4,17,0.5299384593963623
1984,4,18,0.6587575078010559
1984,4,19,0.6245585680007935
1984,4,20,0.579522431
1984,4,21,0.5605923533439636
1984,4,22,0.404177725
1984,4,23,0.055729907006025314
1984,4,24,-0.267184317
1984,4,25,-0.419037372
1984,4,26,-0.944458842
1984,4,27,-1.040914893
1984,4,28,-0.484446943
1984,4,29,0.010211870074272156
1984,4,30,-0.247579157
1984,5,1,-0.95527792
1984,5,2,-0.900684536
1984,5,3,-0.016423736
1984,5,4,0.316131055
1984,5,5,0.028632004
1984,5,6,-0.535181701
1984,5,7,-0.950651348
1984,5,8,-1.008162737
1984,5,9,-0.735809505
1984,5,10,-0.944103479
1984,5,11,-1.319859028
1984,5,12,-2.03386569
1984,5,13,-3.052447557
1984,5,14,-2.895323753
1984,5,15,-2.791780949
1984,5,16,-3.096674204
1984,5,17,-3.142301321
1984,5,18,-2.675082922
1984,5,19,-1.930740595
1984,5,20,-1.315075278
1984,5,21,-0.979606748
1984,5,22,-1.149625778
1984,5,23,-1.692537069
1984,5,24,-1.128399372
1984,5,25,-0.226384312
1984,5,26,0.14808163046836853
1984,5,27,-0.252759486
1984,5,28,-1.133351684
1984,5,29,-1.131309867
1984,5,30,-0.201875985
1984,5,31,0.6411661505699158
1984,6,1,0.6143648028373718
1984,6,2,0.3573366701602936
1984,6,3,-0.004830217
1984,6,4,-0.047309138
1984,6,5,0.4186460077762604
1984,6,6,0.8756151795387268
1984,6,7,0.9051565527915955
1984,6,8,0.8011523485183716
1984,6,9,0.6387065649032593
1984,6,10,0.6002798080444336
1984,6,11,0.27378085255622864
1984,6,12,0.079168767
1984,6,13,0.5686211585998535
1984,6,14,0.9303256869316101
1984,6,15,0.90408963
1984,6,16,0.5037485957145691
1984,6,17,0.086783096
1984,6,18,0.33245962858200073
1984,6,19,0.38583794236183167
1984,6,20,0.5595902800559998
1984,6,21,0.6874643564224243
1984,6,22,0.6751785278320312
1984,6,23,0.8262174129486084
1984,6,24,0.9030184745788574
1984,6,25,0.7928234934806824
1984,6,26,0.6369960904121399
1984,6,27,0.221868098
1984,6,28,-0.457794785
1984,6,29,-0.997700214
1984,6,30,-0.821421921
1984,7,1,-0.50302887
1984,7,2,-0.554277718
1984,7,3,-0.642771125
1984,7,4,-0.887063563
1984,7,5,-0.809356689
1984,7,6,-1.04334116
1984,7,7,-1.199489594
1984,7,8,-0.82336092
1984,7,9,0.33032354712486267
1984,7,10,0.5637001395225525
1984,7,11,0.39604780077934265
1984,7,12,0.37750178575515747
1984,7,13,0.7654333114624023
1984,7,14,0.5748816728591919
1984,7,15,-0.062310528
1984,7,16,0.055513684
1984,7,17,0.8508129119873047
1984,7,18,1.9786250591278076
1984,7,19,2.8173859119415283
1984,7,20,2.603219985961914
1984,7,21,2.223242998123169
1984,7,22,2.342590332
1984,7,23,2.2302279472351074
1984,7,24,2.4362924098968506
1984,7,25,2.4291460514068604
1984,7,26,2.1324424743652344
1984,7,27,2.2779505252838135
1984,7,28,2.326784610748291
1984,7,29,1.7507615089416504
1984,7,30,0.9312496781349182
1984,7,31,0.643726647
1984,8,1,0.054690599
1984,8,2,-0.398419976
1984,8,3,-1.025821805
1984,8,4,-1.39187634
1984,8,5,-1.75744164
1984,8,6,-1.836640835
1984,8,7,-0.853618681
1984,8,8,-0.009085895
1984,8,9,0.5304656028747559
1984,8,10,1.1302297115325928
1984,8,11,0.9886642694473267
1984,8,12,0.45020586252212524
1984,8,13,0.20330695807933807
1984,8,14,0.26680439710617065
1984,8,15,0.10781120508909225
1984,8,16,-0.170572251
1984,8,17,0.048912432
1984,8,18,-0.115624227
1984,8,19,-0.440981209
1984,8,20,-0.588769019
1984,8,21,-0.493203461
1984,8,22,-1.140398979
1984,8,23,-1.620873451
1984,8,24,-1.073569059
1984,8,25,-1.200139761
1984,8,26,-1.869539499
1984,8,27,-1.72459209
1984,8,28,-1.507192492
1984,8,29,-0.80090338
1984,8,30,-0.192549855
1984,8,31,-0.037126299
1984,9,1,0.184431255
1984,9,2,-0.032416824
1984,9,3,-0.347499341
1984,9,4,-0.117216073
1984,9,5,-0.066736914
1984,9,6,-0.491150439
1984,9,7,-0.575003624
1984,9,8,-0.681375206
1984,9,9,-0.400212109
1984,9,10,-0.186597228
1984,9,11,0.039764612913131714
1984,9,12,0.829960823
1984,9,13,1.2135913372039795
1984,9,14,0.9235542416572571
1984,9,15,0.835272491
1984,9,16,1.2155596017837524
1984,9,17,1.324637532234192
1984,9,18,1.1702561378479004
1984,9,19,0.8325265049934387
1984,9,20,0.6476761102676392
1984,9,21,0.6069163084030151
1984,9,22,0.5355401635169983
1984,9,23,0.5828145146369934
1984,9,24,0.7041524052619934
1984,9,25,0.7904757261276245
1984,9,26,0.3448711931705475
1984,9,27,-0.243142813
1984,9,28,-0.030583741
1984,9,29,0.039747152
1984,9,30,-0.266155422
1984,10,1,0.12690778076648712
1984,10,2,0.3055042028427124
1984,10,3,-0.634594798
1984,10,4,-0.814122796
1984,10,5,0.38937821984291077
1984,10,6,1.1868133544921875
1984,10,7,0.9549434185028076
1984,10,8,0.4997508227825165
1984,10,9,0.6408855319023132
1984,10,10,0.17459411919116974
1984,10,11,-0.166113436
1984,10,12,0.1418466567993164
1984,10,13,0.30424848198890686
1984,10,14,0.21402454376220703
1984,10,15,0.3374040424823761
1984,10,16,0.7642217874526978
1984,10,17,1.2411702871322632
1984,10,18,1.1708402633666992
1984,10,19,0.8218621015548706
1984,10,20,0.34409478306770325
1984,10,21,-0.238115117
1984,10,22,-0.533388019
1984,10,23,-0.625520051
1984,10,24,-0.488628864
1984,10,25,-0.640735865
1984,10,26,-1.056362391
1984,10,27,-1.285336375
1984,10,28,-1.180624366
1984,10,29,-0.895754516
1984,10,30,-0.723840415
1984,10,31,-0.693398416
1984,11,1,-0.374427646
1984,11,2,-0.487265736
1984,11,3,0.1080271452665329
1984,11,4,0.7148398756980896
1984,11,5,1.107109546661377
1984,11,6,1.1902128458023071
1984,11,7,0.5830934047698975
1984,11,8,-0.330677629
1984,11,9,-0.942685902
1984,11,10,-1.102209806
1984,11,11,-0.935459435
1984,11,12,-0.565027654
1984,11,13,-0.2126849
1984,11,14,-0.049892534
1984,11,15,-0.18337974
1984,11,16,0.12056247144937515
1984,11,17,-0.030056499
1984,11,18,-0.502865076
1984,11,19,-0.35859412
1984,11,20,0.055402651
1984,11,21,0.7087133526802063
1984,11,22,1.147068738937378
1984,11,23,1.056570053100586
1984,11,24,0.5215073227882385
1984,11,25,-0.32172516
1984,11,26,-0.572539926
1984,11,27,-0.549203694
1984,11,28,-0.265256405
1984,11,29,0.003094819
1984,11,30,-0.305024892
1984,12,1,-0.377205044
1984,12,2,0.020006490871310234
1984,12,3,-0.064718932
1984,12,4,-0.548185527
1984,12,5,-0.896968961
1984,12,6,-1.373803616
1984,12,7,-1.141054749
1984,12,8,-0.748749733
1984,12,9,-0.725199759
1984,12,10,-1.258261681
1984,12,11,-2.1248281
1984,12,12,-2.274726629
1984,12,13,-1.964691401
1984,12,14,-1.71939683
1984,12,15,-1.924152732
1984,12,16,-2.259322166
1984,12,17,-2.584117174
1984,12,18,-2.552409887
1984,12,19,-2.441771269
1984,12,20,-1.977588892
1984,12,21,-1.419880629
1984,12,22,-1.366361499
1984,12,23,-1.797032118
1984,12,24,-1.840714931
1984,12,25,-1.674155831
1984,12,26,-1.366370797
1984,12,27,-1.122879028
1984,12,28,-1.137043834
1984,12,29,-1.196577787
1984,12,30,-1.158143997
1984,12,31,-1.165118217
1985,1,1,-1.026251912
1985,1,2,-0.745505154
1985,1,3,-0.898931801
1985,1,4,-1.262344956
1985,1,5,-1.627332211
1985,1,6,-1.742357492
1985,1,7,-1.437701225
1985,1,8,-1.182365775
1985,1,9,-1.371254683
1985,1,10,-1.794479012
1985,1,11,-1.694102645
1985,1,12,-1.229910254
1985,1,13,-0.848285854
1985,1,14,-0.798773527
1985,1,15,-0.880905509
1985,1,16,-0.668216527
1985,1,17,-0.404401988
1985,1,18,0.074331589
1985,1,19,0.052188784
1985,1,20,-0.432868361
1985,1,21,-0.587751508
1985,1,22,-0.491502434
1985,1,23,-0.072777778
1985,1,24,-0.276386708
1985,1,25,-0.330095321
1985,1,26,-0.279172689
1985,1,27,-0.194190517
1985,1,28,-0.291281044
1985,1,29,-0.460568994
1985,1,30,-0.394721657
1985,1,31,-0.535393357
1985,2,1,-0.877193391
1985,2,2,-1.036250949
1985,2,3,-0.944713712
1985,2,4,-0.885736287
1985,2,5,-0.926485002
1985,2,6,-0.821209908
1985,2,7,-0.81822288
1985,2,8,-0.67294991
1985,2,9,-0.338088483
1985,2,10,0.069695093
1985,2,11,0.6070387363433838
1985,2,12,0.8184964656829834
1985,2,13,1.1311160326004028
1985,2,14,1.6887093782424927
1985,2,15,1.7514129877090454
1985,2,16,1.238918662071228
1985,2,17,0.688901424
1985,2,18,0.2201162725687027
1985,2,19,0.011181477457284927
1985,2,20,0.19132240116596222
1985,2,21,0.16957826912403107
1985,2,22,0.187872052
1985,2,23,0.3710935115814209
1985,2,24,0.933555007
1985,2,25,1.2520908117294312
1985,2,26,1.1747568845748901
1985,2,27,0.487044096
1985,2,28,0.075418092
1985,3,1,0.26715266704559326
1985,3,2,0.2751106321811676
1985,3,3,-0.004022368
1985,3,4,-0.294106245
1985,3,5,-0.123261474
1985,3,6,0.3842209577560425
1985,3,7,0.7646775841712952
1985,3,8,0.8268700242042542
1985,3,9,0.5447057485580444
1985,3,10,0.46937981247901917
1985,3,11,0.7181293368339539
1985,3,12,1.0414798259735107
1985,3,13,0.8667258620262146
1985,3,14,0.3306252360343933
1985,3,15,-0.214488074
1985,3,16,-0.721195579
1985,3,17,-0.913914621
1985,3,18,-0.941202223
1985,3,19,-1.277721405
1985,3,20,-1.533895969
1985,3,21,-1.784160972
1985,3,22,-2.136334181
1985,3,23,-1.576804876
1985,3,24,-0.322821319
1985,3,25,0.17774000763893127
1985,3,26,-0.016348364
1985,3,27,0.085866742
1985,3,28,0.4558889865875244
1985,3,29,0.3747946619987488
1985,3,30,0.18649980425834656
1985,3,31,0.01988988
1985,4,1,0.10788777470588684
1985,4,2,0.17208488285541534
1985,4,3,-0.219455779
1985,4,4,-0.485326648
1985,4,5,-0.354295999
1985,4,6,0.2785249352455139
1985,4,7,0.5382030010223389
1985,4,8,0.5325533747673035
1985,4,9,-0.280268013
1985,4,10,-1.14151454
1985,4,11,-0.978121221
1985,4,12,0.307309628
1985,4,13,1.6438484191894531
1985,4,14,2.0472939014434814
1985,4,15,1.2966877222061157
1985,4,16,0.9348236918449402
1985,4,17,1.1566362380981445
1985,4,18,0.9302146434783936
1985,4,19,0.073491365
1985,4,20,-0.216490626
1985,4,21,-0.211681962
1985,4,22,-0.404477894
1985,4,23,-0.720116377
1985,4,24,-1.037830472
1985,4,25,-1.150641322
1985,4,26,-0.896978498
1985,4,27,-0.479032516
1985,4,28,-0.350860834
1985,4,29,-0.227902874
1985,4,30,-0.028416673
1985,5,1,0.23155638575553894
1985,5,2,0.3833584189414978
1985,5,3,0.28461524844169617
1985,5,4,0.11910427361726761
1985,5,5,0.044256538
1985,5,6,0.069292806
1985,5,7,0.026324262842535973
1985,5,8,-0.123579986
1985,5,9,-0.374816835
1985,5,10,-0.472332239
1985,5,11,-0.787743211
1985,5,12,-1.182208657
1985,5,13,-0.882391155
1985,5,14,0.12692071497440338
1985,5,15,0.7004496455192566
1985,5,16,0.3898000121116638
1985,5,17,0.068467468
1985,5,18,-0.120299533
1985,5,19,0.21559926867485046
1985,5,20,0.3194221556186676
1985,5,21,0.28905388712882996
1985,5,22,0.077423908
1985,5,23,-0.924378395
1985,5,24,-1.479308009
1985,5,25,-0.926491439
1985,5,26,0.082835682
1985,5,27,0.4059806764125824
1985,5,28,0.3827119469642639
1985,5,29,0.3494114279747009
1985,5,30,0.18508803844451904
1985,5,31,0.4698405861854553
1985,6,1,0.9407485127449036
1985,6,2,0.5750647187232971
1985,6,3,-0.119372465
1985,6,4,0.4934624433517456
1985,6,5,1.0785382986068726
1985,6,6,0.6576647162437439
1985,6,7,0.18668974936008453
1985,6,8,-0.377911717
1985,6,9,-0.821386635
1985,6,10,-0.948993921
1985,6,11,-1.187407136
1985,6,12,-0.957847118
1985,6,13,-0.628380001
1985,6,14,-0.666059434
1985,6,15,-0.880010545
1985,6,16,-0.918349385
1985,6,17,-0.822847724
1985,6,18,-0.535148978
1985,6,19,-0.73764497
1985,6,20,-1.191690087
1985,6,21,-1.321654081
1985,6,22,-1.639773607
1985,6,23,-1.534131289
1985,6,24,-1.134877801
1985,6,25,-0.563857615
1985,6,26,-0.267048717
1985,6,27,-0.113043226
1985,6,28,0.4339854121208191
1985,6,29,1.3005750179290771
1985,6,30,2.0607776641845703
1985,7,1,2.2966277599334717
1985,7,2,2.370659828186035
1985,7,3,2.491640567779541
1985,7,4,2.443665027618408
1985,7,5,1.9979572296142578
1985,7,6,1.7600407600402832
1985,7,7,1.6576093435287476
1985,7,8,1.762111783027649
1985,7,9,1.299617886543274
1985,7,10,0.707318127
1985,7,11,1.0036824941635132
1985,7,12,1.696937918663025
1985,7,13,1.7299838066101074
1985,7,14,1.6083261966705322
1985,7,15,1.5941319465637207
1985,7,16,2.0058884620666504
1985,7,17,2.862593650817871
1985,7,18,3.6583304405212402
1985,7,19,3.223879814147949
1985,7,20,2.2644786834716797
1985,7,21,1.700880765914917
1985,7,22,1.1925151348114014
1985,7,23,1.1553879976272583
1985,7,24,1.766836404800415
1985,7,25,2.300521135
1985,7,26,2.3875787258148193
1985,7,27,1.998281717300415
1985,7,28,1.881973385810852
1985,7,29,1.1199276447296143
1985,7,30,0.4526146948337555
1985,7,31,0.7309492826461792
1985,8,1,0.8518174290657043
1985,8,2,0.6410152912139893
1985,8,3,0.23988594114780426
1985,8,4,0.24487967789173126
1985,8,5,0.38504499197006226
1985,8,6,0.3529362380504608
1985,8,7,0.53378588
1985,8,8,0.6703680157661438
1985,8,9,0.6021580696105957
1985,8,10,0.18477341532707214
1985,8,11,-0.40480119
1985,8,12,-0.491260409
1985,8,13,-0.05449722
1985,8,14,0.4003771245479584
1985,8,15,0.5751350522041321
1985,8,16,0.9689996242523193
1985,8,17,1.3601438999176025
1985,8,18,0.9903991222381592
1985,8,19,1.0907970666885376
